originalTransactionId,transactionId,productId,purchaseDate,expiresDate,transactionReason,priceMilli,priceDisplay,currency
700001796465626,700002522848509,169566_158677,1775346556000,1777938556000,RENEWAL,249000,249.0,TRY
230002523206803,230003326537053,169566_158677,1775343995000,1777935995000,RENEWAL,249000,249.0,TRY
250002518103640,250002749367631,169566_158677,1775134826000,1777726826000,RENEWAL,249000,249.0,TRY
470001847899028,470003156784669,169566_158677,1775316251000,1777908251000,RENEWAL,249000,249.0,TRY
330002864042869,330002875640045,169566_158677,1775346304000,1777938304000,RENEWAL,249000,249.0,TRY
540001451216517,540002504204096,169566_158677,1775350599000,1777942599000,RENEWAL,249000,249.0,TRY
310002265285163,310002855173321,169566_158677,1775348165000,1777940165000,RENEWAL,249000,249.0,TRY
710001542863046,710002711210952,169566_158677,1775349083000,1777941083000,RENEWAL,249000,249.0,TRY
730001869337280,730002439536798,169566_158677,1775350238000,1777942238000,RENEWAL,249000,249.0,TRY
490002431716420,490002794387818,169566_158677,1775350602000,1777942602000,RENEWAL,249000,249.0,TRY
410003006080204,410003138956207,169566_158677,1775318684000,1777910684000,PURCHASE,249000,249.0,TRY
490001276663486,490002794366810,169566_158677,1775349669000,1777941669000,RENEWAL,249000,249.0,TRY
480001936087897,480003148150699,169566_158677,1775347854000,1777939854000,RENEWAL,249000,249.0,TRY
350002502665365,350003227590334,169566_158677,1775348687000,1777940687000,RENEWAL,249000,249.0,TRY
190002580678224,190003316811278,169566_158677,1775350149000,1777942149000,RENEWAL,249000,249.0,TRY
1270000041636058,270002804134003,169566_158677,1775350070000,1777942070000,RENEWAL,249000,249.0,TRY
330000975728001,330002875724181,169566_158677,1775349918000,1777941918000,RENEWAL,249000,249.0,TRY
280002739360457,280003107645206,169566_158677,1775347286000,1777939286000,RENEWAL,249000,249.0,TRY
470002830651270,470003156875610,169566_158677,1775348489000,1777940489000,RENEWAL,249000,249.0,TRY
380002166151861,380002368213562,169566_158677,1775353527000,1777945527000,RENEWAL,249000,249.0,TRY
720001286209135,720002469880435,169566_158677,1775351408000,1777943408000,RENEWAL,249000,249.0,TRY
210002310253557,210002876690758,169566_158677,1775353170000,1777945170000,RENEWAL,249000,249.0,TRY
470003143695859,470003156950305,169566_158677,1775328749000,1777920749000,RENEWAL,249000,249.0,TRY
360001742053769,360003031027434,169566_158677,1775353049000,1777945049000,RENEWAL,249000,249.0,TRY
600002214492911,600002551267914,169566_158677,1775351236000,1777943236000,RENEWAL,249000,249.0,TRY
570002034208670,570002519583738,169566_158677,1775351453000,1777943453000,RENEWAL,249000,249.0,TRY
230001971079130,230003326767158,169566_158677,1775352171000,1777944171000,RENEWAL,249000,249.0,TRY
500001955332429,500002781088000,169566_158677,1775353418000,1777945418000,RENEWAL,249000,249.0,TRY
440001979919320,440003025986734,169566_158677,1775350881000,1777942881000,RENEWAL,249000,249.0,TRY
